prompt,label
"Can I send an email, please?",send
I'd like to compose an email.,send
I need to send an email.,send
Could you help me write an email?,send
Is it possible to send an email with you?,send
Let's write an email.,send
Time to send an email.,send
I want to email someone.,send
Open email for writing.,send
Compose a new message.,send
I have an email to send.,send
There's someone I need to email.,send
I want to get in touch with [someone] through email.,send
Could you draft an email for me?,send
I need to send an email about [topic].,send
Time to send a quick email.,send
Let's shoot someone an email.,send
I have an important email to write.,send
Is there a way to email [someone]?,send
Can you help me send an email regarding [topic]?,send
I need to drop someone a line.,send
Let's ping someone with an email.,send
Time to fire off an email.,send
Is it cool if I send an email?,send
Can you whip up an email for me?,send
I could use an email assistant right now.,send
Let's get in touch electronically.,send
"I wanna send an email, yo.",send
"Can you help me send an email, buddy?",send
Mind helping me out with an email?,send
"Start a new email, please.",send
Let's create a new email message.,send
Activate email composition mode.,send
"Open the email writer, please.",send
Can you initiate a new email for me?,send
I'd like to access the email composer.,send
Guide me through composing an email.,send
Help me get started with a new email.,send
Take me to the email writing section.,send
Begin a new email draft.,send
I need to send a quick thank you email.,send
Can you help me write a birthday email?,send
Let's draft a work email together.,send
I have a complaint to send via email.,send
Is it possible to write an email invitation?,send
Help me compose an email apology.,send
Can you guide me through writing a meeting email?,send
I need to send a follow-up email.,send
Let's write an email for feedback.,send
Is there a way to draft a resignation email?,send
Is sending an email an option?,send
Could I possibly send an email with your help?,send
Would it be alright to compose an email now?,send
Do you mind helping me write an email message?,send
I was wondering if I could send an email through you.,send
Is there a way for me to get started with an email?,send
Can you assist me in the email writing process?,send
"I'm not sure how to send an email, can you help?",send
Would you be able to guide me through writing an email?,send
Is it possible to use your voice to send an email?,send
"Hey, can I write an email?",send
"Dude, let's send an email.",send
"Yo, help me out with an email, please.",send
Mind if I shoot someone an email?,send
Is it cool if I use you to send an email?,send
Can you whip up an email real quick?,send
"Let's get this email done, assistant.",send
"Time to blast out an email, you in?",send
"Help a brother out with an email, please.",send
"My fingers are tired, can you write an email?",send
Let's write.,send
I need to compose.,send
Can you draft something for me?,send
Time to fire off a message.,send
Let's get in for a mail.,send
I have something to send to [someone].,send
I need to reach out to [someone] electronically.,send
Can you help me contact [someone] through email?,send
Is there a way to get a message to [someone]?,send
I have some information to share via email.,send
Can you be my email genie?,send
Let's make the email magic happen.,send
"I need your email superpowers, assistant!",send
Time to email someone into existence.,send
Can you email like a boss for me?,send
"Let's write an email that slays, shall we?",send
"I need your email Jedi skills, master.",send
Is it possible to email someone with the power of your voice?,send
Can you make emailing effortless for me?,send
Let's write an email that breaks the internet.,send
May I please send an email?,send
I'd like to send an email now.,send
"Could you help me compose an email, please?",send
Is it possible to write a new email message?,send
I need to send an email. Can you assist me?,send
"I just finished a meeting, can I send an email recap?",send
I need to send an email after this phone call.,send
Remind me to send an email after my presentation.,send
Can you help me write an email while I'm on the go?,send
Is there a way to send an email hands-free?,send
Show me all my emails.,list
"Can you list my emails, please?",list
Open my inbox.,list
I want to see all my mail.,list
Display my email messages.,list
Can you give me a list of my emails?,list
Show me my emails in chronological order.,list
"Open the email list, please.",list
I need to access my inbox.,list
Can I see my email messages now?,list
I want to check my email.,list
Could you show me any new emails?,list
Are there any emails waiting for me?,list
Let me see what's in my inbox.,list
Can you give me a quick overview of my emails?,list
Is it possible to view all my email messages?,list
I need to catch up on my emails.,list
Show me any unread emails I have.,list
Are there any important emails in my inbox?,list
Can you list my emails starting with the most recent?,list
What's in my email bin?,list
Can you give me the email scoop?,list
"Show me my email pile, please.",list
Is it cool if I peek at my inbox?,list
"Can you whip up a list of my emails, buddy?",list
"I'm feeling overwhelmed, show me my emails.",list
Let's dive into my email ocean.,list
"My fingers are tired, can you list my emails?",list
"Show me the email goodies, please.",list
Can you be my email fortune teller?,list
Open the email list view.,list
Let's access all my email messages.,list
Activate email inbox mode.,list
"Display the complete email list, please.",list
Can you initiate showing my email messages?,list
I'd like to access the email viewer.,list
Guide me through viewing all my emails.,list
Help me get started with my email list.,list
Take me to the email overview section.,list
Show me all my email drafts.,list
Is it possible to list all my emails?,list
Could I possibly see a list of my emails with your help?,list
Would it be alright to view my email inbox now?,list
Do you mind showing me all my email messages?,list
I was wondering if I could list my emails through you.,list
Is there a way for me to get to my email list?,list
Can you assist me in viewing all my emails?,list
"I'm not sure how to see my emails, can you help?",list
Would you be able to guide me through viewing my inbox?,list
Is it possible to use your voice to show me my emails?,list
"Hey, can I see my emails?",list
"Dude, show me what's in my inbox.",list
"Yo, list my emails, please.",list
Mind if I check my email real quick?,list
Is it cool if I use you to show me my emails?,list
Can you whip up a list of my emails?,list
"Let's get my email list going, assistant.",list
Time to see what emails I missed. You in?,list
"Help a brother out with my emails, please.",list
"My eyes are tired, can you read my emails to me?",list
Let's see what's in there.,list
I need to view my messages.,list
Can you show me something?,list
Time to check my email backlog.,list
Let's get this email thing started.,list
I have some things to check in my email.,list
I need to see if I have any new messages.,list
Can you tell me if there are any important emails for me?,list
Is there anything waiting for me in my inbox?,list
I need to catch up on my email communication.,list
Can you be my email genie? Show me the email treasure trove!,list
Let's make the email magic happen. Open the email curtain!,list
"I need your email superpowers, assistant! Unleash the email flood!",list
Time to email someone into existence. Show me my email spirit animal!,list
Can you email with the power of your voice? List my email messages like a boss!,list
"Let's write an email that slays, shall we? Start me off with my inbox firestorm!",list
"I need your email Jedi skills, master. Open the email pathway!",list
Is it possible to use your voice to unlock my email universe? Show me the email galaxy!,list
Can you make checking my email effortless? Give me the email zen experience!,list
"Let's write an email that breaks the inbox, but first, show me what's there!",list
"I just finished a meeting, can you show me any new emails?",list
Let me see my emails before this phone call ends.,list
Remind me to check my inbox after my presentation.,list
Can you list my emails while I'm on the go?,list
Is there a way to access my email hands-free?,list
Show me any emails I received since [specific time/date].,list
Can you list my emails from [specific sender/recipient]?,list
Are there any unread emails about [specific topic]?,list
Show me only the important emails in my inbox.,list
Can you prioritize my email list for me?,list
I want to see the unread emails first.,list
List my emails in reverse chronological order.,list
Show me only the emails with attachments.,list
Can you filter my emails by [specific criteria]?,list
Is it possible to list down emails containing [keywords]?,list
Let me see the starred emails in my inbox.,list
Show me only the emails from my work account.,list
Can you list the emails in my [specific folder]?,list
Is there a way to view the deleted emails?,list
Open the email that I received most recently.,list
"Delete this email, please.",trash
Can you get rid of this email?,trash
I want to remove this email.,trash
Please erase this email.,trash
Time to delete this one.,trash
This email needs to go.,trash
Can you dispose of this email for me?,trash
"I'm done with this email, delete it.",trash
This email can be trashed.,trash
Remove this email permanently.,trash
Are you sure you can delete this email?,trash
Can you confirm deleting this email?,trash
"I want to permanently delete this email, is that right?",trash
"Trash this mail for me, please",trash
Trash this mail.,trash
"Ditch this email, please.",trash
"Trash this mail, please.",trash
Trash this mail to the bin.,trash
This email needs to be banished.,trash
Can you make this email disappear like magic?,trash
This email needs to take a permanent vacation.,trash
"Trash this email, please.",trash
"This email is toast, delete it.",trash
Trash this email.,trash
Send this mail to the trash.,trash
Send this email to the trash.,trash
Activate the email removal process.,trash
Proceed with permanent email deletion.,trash
Execute email erase protocol.,trash
Confirm email trashing action.,trash
Is it possible to delete this email permanently?,trash
Could I possibly erase this email with your help?,trash
Would it be alright to remove this email forever?,trash
Do you mind getting rid of this email for me?,trash
I was wondering if I could permanently delete this email through you.,trash
Is there a way for me to erase this email completely?,trash
Can you assist me in permanently removing this email?,trash
"I'm not sure how to delete this email permanently, can you help?",trash
Would you be able to guide me through permanently deleting this email?,trash
Is it possible to use your voice to permanently delete this email?,trash
"Hey, can you delete this email?",trash
"Dude, get rid of this email, please.",trash
"Yo, trash this email for me.",trash
Mind if I delete this email real quick?,trash
Is it cool if I use you to erase this email?,trash
Can you whip up an email deletion for me?,trash
"Let's get rid of this email now, assistant.",trash
"Time to nuke this email, you in?",trash
"Help a brother out with this email deletion, please.",trash
"My fingers are tired, can you delete this email for me?",trash
Can you remove it?,trash
I need to erase this.,trash
"Get rid of this one, please.",trash
Time to trash this.,trash
Let's delete this thing.,trash
I don't want this email anymore.,trash
This email can be removed.,trash
There's no need to keep this email.,trash
Is it possible to permanently erase this email?,trash
"I'm done with this email, can you take care of it?",trash
Can you be my email grim reaper? Delete this email!,trash
Let's make the email deletion magic happen! Vanish this email!,trash
"I need your email deletion superpowers, assistant! Make this email disappear!",trash
Time to email someone into oblivion. Delete this email like a ninja!,trash
Can you delete with the power of your voice? Erase this email like a boss!,trash
"Let's write an email that gets deleted, shall we? Send this email to the email void!",trash
